X,Y,kat,RASTERVALU,icon_url
27.8870293396802,39.6474747812133,"3",9.25832366943,./0.png
27.886975020387,39.6470851836196,"5",14.25216674800,./0.png
27.8866547416651,39.6468292098067,"11",32.54763031010,./0.png
27.8863435876269,39.6471910833625,"5",14.86728668210,./0.png
27.8860050326045,39.6471459874265,"6",19.31565093990,./0.png
27.8860930495076,39.6472769092168,"6",18.45227050780,./0.png
27.8858587186823,39.6472796508669,"3",9.03231811523,./0.png
27.8857490124094,39.6471889435193,"3",7.39923095703,./0.png
27.8856678971569,39.647308759155,"7",22.17070770260,./0.png
27.8854838797672,39.6472910913224,"7",21.94002532960,./0.png
27.8851922483131,39.6473467138406,"8",23.78566741940,./0.png
27.884367497417,39.6474798225227,"3",7.42179107666,./0.png
27.8842897456237,39.6474766005146,"3",8.63314819336,./0.png
27.8837260897387,39.6474908071062,"9",27.21006011960,./0.png
27.883860952901,39.6474746195231,"7",21.18110656740,./0.png
27.8835529681744,39.647524736436,"9",26.65212249760,./0.png
27.8834337656404,39.647550245382,"7",20.61028289790,./0.png
27.8833461732506,39.6475589216112,"8",23.45317840580,./0.png
27.8832405270847,39.6475737430334,"8",24.10232543950,./0.png
27.883043953444,39.6475677998238,"8",24.77848052980,./0.png
27.8828348133555,39.647533916715,"9",27.48030090330,./0.png
27.8829951571828,39.6474262789454,"5",15.57189178470,./0.png
27.8826017369641,39.6475966219345,"10",29.00510406490,./0.png
27.8821986118158,39.6477119393336,"3",7.99671936035,./0.png
27.8821688212279,39.6476681104713,"2",7.08119201660,./0.png
27.8825147729007,39.6478972009194,"5",15.83737945560,./0.png
27.8826684238063,39.6478742918507,"5",16.17913055420,./0.png
27.8827824183123,39.6478757140663,"6",16.39663696290,./0.png
27.8829989951776,39.6477958749785,"7",19.96617889400,./0.png
27.8830673306296,39.6478151894894,"8",23.78484344480,./0.png
27.8832474816419,39.6477810164114,"6",18.71247100830,./0.png
27.8834319724076,39.6477582538374,"4",10.28744506840,./0.png
27.8835260224847,39.6477724142014,"5",14.26248931880,./0.png
27.8834538127528,39.6478654598719,"5",14.97451019290,./0.png
27.8836456959163,39.6477257313291,"7",22.30104064940,./0.png
27.8838805235187,39.647713455818,"4",12.48654174800,./0.png
27.8840495616913,39.6477655697741,"7",21.35372161870,./0.png
27.8841567786376,39.6477094457457,"8",23.87923431400,./0.png
27.8842881290105,39.6477079691487,"8",24.05358886720,./0.png
27.8843903446087,39.6477434270062,"6",19.29295349120,./0.png
27.8844034718439,39.6476603660952,"2",6.16332244873,./0.png
27.8845771133044,39.6476380645435,"7",22.53018188480,./0.png
27.8846801742253,39.6476430010338,"8",24.85642242430,./0.png
27.8851056465998,39.6475877898491,"9",26.49371337890,./0.png
27.8851745950114,39.6475777289644,"6",16.45903778080,./0.png
27.8853581023016,39.6475553510572,"6",18.13895416260,./0.png
27.8855146396083,39.6475460521854,"8",23.13751983640,./0.png
27.8856766535218,39.6475309898964,"7",22.75610351560,./0.png
27.8857718192179,39.6475455219647,"4",10.75445556640,./0.png
27.8857692506821,39.6474892803775,"4",11.38024902340,./0.png
27.8859099781378,39.6474977425135,"7",21.80667114260,./0.png
27.8860976172218,39.6475091848571,"8",24.24597167970,./0.png
27.8863449685113,39.6476083760927,"8",24.45504760740,./0.png
27.8863761785527,39.6475409113939,"2",5.00011444092,./0.png
27.8865122257266,39.6474726456498,"8",24.84692382810,./0.png
27.8864535239438,39.6476571340885,"7",20.71504211430,./0.png
27.8866097505153,39.6474304212146,"7",23.07950592040,./0.png
